orbital_period_days,transit_duration_hours,transit_depth_ppm,planet_radius_earth,equilibrium_temperature_K,insolation_flux_Earth,stellar_radius_solar,stellar_temperature_K,final_disposition,source_mission
20.99587872,2.6333,767.3,1.3,328.0,2.74,0.47,3713.0,CONFIRMED,KEPLER
7.41113177,2.5242,620.5,2.45,905.0,158.11,0.919,5849.0,CONFIRMED,KEPLER
1.000747038,0.9967,1823.5,4.14,1620.0,1635.2,0.79,5472.0,FALSE_POSITIVE,KEPLER
8.884922995,2.07004,16053.0,10.51,770.0,83.21,0.843,5332.0,CONFIRMED,KEPLER
8.09888906,4.20241,6911.1,8.95,986.0,223.19,1.076,6214.0,CONFIRMED,KEPLER
10.00653012,5.344,936.1,3.52,876.0,139.21,1.001,6063.0,CONFIRMED,KEPLER
17.855221681,7.41287,9065.2,13.16,911.0,163.04,1.367,6823.0,CONFIRMED,KEPLER
12.732624065,2.2083,6465.7,4.87,432.0,8.22,0.541,3950.0,CANDIDATE,KEPLER
83.92494032,6.7904,7958.7,4.78,226.0,0.62,0.509,3960.0,CANDIDATE,KEPLER
5.007316661,4.2362,6932.3,6.96,998.0,234.28,0.827,5865.0,CONFIRMED,KEPLER
2.211116989,1.6485,724.2,1.85,931.0,177.19,0.646,4500.0,CONFIRMED,KEPLER
27.9541337,3.95,942.5,1.9,400.0,6.04,0.646,4500.0,CONFIRMED,KEPLER
12.69104387,3.7727,252.1,2.57,1008.0,244.3,1.626,5869.0,CONFIRMED,KEPLER
4.409409243,3.8636,12861.0,10.95,1101.0,347.06,0.975,5600.0,FALSE_POSITIVE,KEPLER
16.23947096,4.0374,2590.7,4.14,598.0,30.14,0.837,5191.0,CONFIRMED,KEPLER
6.308201629,2.9785,1328.5,2.96,819.0,106.44,0.837,5191.0,CONFIRMED,KEPLER
2.052349884,2.0778,14281.0,13.12,1497.0,1183.18,1.08,5855.0,CONFIRMED,KEPLER
9.7704486,2.4517,1897.8,2.23,460.0,10.59,0.509,3906.0,CONFIRMED,KEPLER
5.169804269,2.153,1037.4,1.66,569.0,24.75,0.509,3906.0,CONFIRMED,KEPLER
21.22261195,6.5093,366.0,2.48,771.0,83.56,1.302,5945.0,CONFIRMED,KEPLER
20.09017037,4.154,1432.1,2.25,362.0,4.05,0.509,3906.0,CONFIRMED,KEPLER
7.11373257,2.1764,807.6,1.16,429.0,8.01,0.411,3561.0,CONFIRMED,KEPLER
3.306551643,1.8177,509.2,0.91,554.0,22.19,0.411,3561.0,CONFIRMED,KEPLER
15.36845737,2.4714,756.1,1.11,332.0,2.86,0.411,3561.0,CONFIRMED,KEPLER
13.81020318,3.048,1309.7,4.56,833.0,113.75,1.142,5942.0,CONFIRMED,KEPLER
